stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
21,413,Patrick,Rachel,"출근한 지 3개월 만에 맡게 된 첫 프로젝트는 생각보다 훨씬 어려웠다. 팀원들과 밤늦게까지 회의하고, 자료를 수십 번 수정하며 서로 아이디어를 나눴다. 힘들었지만 결과 발표 날, 팀장님이 우리 발표를 듣고 미소 지으시며 칭찬해주셨다. 팀원들과 박수치고 서로를 격려하며 뿌듯함을 느꼈고, 그날 저녁엔 다 같이 삼겹살을 먹으러 가서 고생했다고 서로를 토닥였다.",첫 프로젝트 발표 후 팀원들이 함께한 일은 무엇이었나요?,잘 모르겠음,집에 바로 갔다,삼겹살을 먹으러 갔다,카페에서 케이크를 먹었다,3,삼겹살을 먹으러 갔다,0,day1block2/mixture/day1block2_stimulus6.wav
22,14,Patrick,Logan,"며칠 전, 친구와 부산에 놀러 갔다가 해운대 근처 작은 횟집을 발견했다. 메뉴판을 보며 신나게 주문했는데, 친구가 회 대신 실수로 생선국을 시켰다. 처음엔 둘 다 당황했지만, 막상 한입 먹어보니 의외로 진한 국물 맛에 푹 빠졌다. 덕분에 계획에도 없던 국밥집 투어까지 하게 되어 웃음이 끊이지 않았다. 그날 사진을 보며 아직도 서로 놀리곤 한다.",부산 여행 중 친구와 실수로 무엇을 주문했나요?,잘 모르겠음,회,생선국,떡볶이,3,생선국,0,day1block2/mixture/day1block2_stimulus7.wav
23,214,Glenda,Rebecca,"작년 여름, 친구들과 제주도 서귀포에 있는 작은 펜션에서 머물렀던 기억이 아직도 생생하다. 첫날 밤엔 갑자기 내린 소나기 때문에 바비큐 파티가 잠시 중단됐지만, 모두 우비를 입고 바깥 테라스에 모여 웃으며 고기를 구웠다. 빗소리와 함께 듣는 친구들의 농담에 유난히 더운 여름밤도 시원하게 느껴졌던 그 순간이 아직도 가장 행복한 여름휴가로 남아있다.",발화자가 여름휴가 중 친구들과 우비를 입고 했던 활동은 무엇인가요?,잘 모르겠음,바다 수영,고기 굽기,낚시,3,고기 굽기,0,day1block2/mixture/day1block2_stimulus8.wav
24,414,Annie,Oscar,"며칠 전부터 졸업논문 결론 부분을 작성하는 데 계속 막혀서 답답했다. 자료 조사를 충분히 했다고 생각했지만, 막상 내 주장과 근거를 연결하려니 생각보다 논리 전개가 어색하게 느껴졌다. 지도 교수님께 피드백을 받으니, 내 논지 흐름이 중간에 끊긴다는 지적을 들었다. 결국 나는 논문 전체 구조를 다시 점검하고, 결론 부분의 주요 논지를 한 번 더 정리해보았다. 시간이 더 걸렸지만, 다듬고 나니 이전보다 훨씬 명확해진 느낌이었다.",발화자가 졸업논문 결론을 잘 쓰기 위해 가장 먼저 한 행동은 무엇인가요?,잘 모르겠음,지도 교수님께 피드백을 받았다.,논문 전체 구조를 다시 점검했다.,자료 조사를 새로 시작했다.,2,지도 교수님께 피드백을 받았다.,0,day1block2/mixture/day1block2_stimulus9.wav
25,15,UncleHank,Cole,"회사 퇴근길에 갑자기 비가 쏟아져서 급하게 편의점에서 산 파란색 우산을 썼다. 지하철을 타고 집 근처에 도착했을 때는 비가 그쳐서 우산을 잠깐 접어 들고 있었다. 그런데 집에 도착해서야 우산이 손에 없다는 걸 알아차렸다. 어디에 놓고 온 건지 기억도 잘 안 나서 괜히 속상했다. 며칠 뒤에 그 길을 다시 지나가 보았지만, 우산은 이미 사라진 뒤였다.",발화자는 어떤 색깔의 우산을 편의점에서 샀나요?,잘 모르겠음,빨간색,파란색,초록색,3,파란색,0,day1block2/mixture/day1block2_stimulus10.wav
26,215,Margaret,Janet,"갑작스럽게 스페인의 작은 마을에서 길을 잃었던 적이 있다. 휴대폰 배터리도 거의 없고, 영어도 잘 통하지 않아 당황했지만, 근처 카페에 들어가서 손짓과 간단한 스페인어로 길을 물었다. 다행히 카페 직원이 친절하게 지도에 표시해주며 목적지까지 가는 버스 번호도 알려줬고, 결국 무사히 숙소에 도착할 수 있었다. 그때의 긴장감과 안도감이 아직도 생생하다.",길을 잃은 상황에서 내가 도움을 받았던 장소는 어디였나요?,잘 모르겠음,근처 슈퍼마켓,근처 카페,택시 승강장,3,근처 카페,0,day1block2/mixture/day1block2_stimulus11.wav
27,415,Dean,Kelly,"며칠 전부터 수채화 그리기를 시작했다. 처음에는 색을 섞는 게 생각보다 어려워서 멋진 하늘을 표현하고 싶었지만 자꾸 색이 탁해져서 속상했다. 그래도 포기하지 않고 유튜브 영상을 참고하며 노란색과 파란색을 조심스럽게 섞었더니, 드디어 마음에 드는 밝은 초록색을 만들어낼 수 있었다. 완성된 그림을 가족에게 보여줬더니 모두 예쁘다고 칭찬해줘서 정말 기뻤다.",발화자가 수채화 그리기를 하면서 가장 먼저 성공적으로 만든 색은 무엇이었나요?,잘 모르겠음,주황색,초록색,보라색,3,초록색,0,day1block2/mixture/day1block2_stimulus12.wav
28,16,Hugh,SantaClaus,"며칠 전 퇴근길에 동네 작은 공원을 지나다가 우연히 연못가에 앉아 있는 청둥오리 한 쌍을 발견했다. 바람에 흔들리는 연잎 사이로 잔잔한 물결이 퍼지고, 오리들이 서로 부리로 깃털을 다듬는 모습이 정말 평화로워 보였다. 순간 복잡했던 하루의 피로가 스르르 풀리는 기분이 들어 잠시 발걸음을 멈추고 그 모습을 오래 바라보았다.",화자는 공원 연못가에서 어떤 동물을 발견하고 잠시 발걸음을 멈췄나요?,잘 모르겠음,청둥오리,고양이,참새,2,청둥오리,0,day1block2/mixture/day1block2_stimulus13.wav
29,217,ReporterCatalina,Alex,"초등학교 6학년 때 처음으로 친구들을 집에 초대해 생일 파티를 열었는데, 엄마가 직접 만든 초코케이크에 내 이름을 예쁘게 써주셔서 정말 감동했다. 친구들이 모두 각자 손수 만든 작은 선물을 준비해와서 선물 교환을 하며 서로에게 편지도 읽어줬다. 특히 지현이가 쓴 짧은 시를 듣고 모두 함께 웃으며 박수쳤던 순간이 아직도 생생하게 기억난다.",생일 파티에서 친구들이 한 특별한 활동은 무엇이었나요?,잘 모르겠음,엄마가 만든 케이크를 먹었다,직접 만든 선물로 교환하고 편지를 읽어줬다,밖에서 달리기 시합을 했다,3,직접 만든 선물로 교환하고 편지를 읽어줬다,0,day1block2/mixture/day1block2_stimulus14.wav
30,416,Sara,DollarJr,"새벽에 숙소에서 일어나 조용히 준비를 마치고 해변으로 향했다. 해가 뜨기 전이라 공기는 서늘했고, 바다엔 아직 서퍼들이 거의 없었다. 파도 소리만 들리는 고요한 순간, 처음으로 큰 파도를 제대로 타는 데 성공했다. 그 짜릿함에 심장이 빨리 뛰었고, 옆에 있던 현지 서퍼가 엄지손가락을 들어 보여줬을 때 괜히 뿌듯했다. 서핑을 마친 뒤 해변가 작은 카페에서 갓 내린 커피를 마시며, 파도 위에서의 떨림을 다시 곱씹었다.",발화자가 서핑 후 마신 음료는 무엇이었나요?,잘 모르겠음,차,주스,커피,4,커피,0,day1block2/mixture/day1block2_stimulus15.wav
