stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
11,270,Lydia,Paige,"한 달에 한 번씩 혼자 영화를 보러 가는 습관이 생긴 뒤로, 삶을 바라보는 시각이 조금씩 달라지고 있다는 걸 느낀다. 최근에는 잔잔한 드라마 영화를 봤는데, 주인공이 실수로 인해 주변 사람들과 갈등을 겪으면서도 결국 진심을 전하는 모습이 인상 깊었다. 영화를 보고 나오니 내 인간관계도 다시 돌아보게 되고, 누군가에게 솔직해질 용기를 내보자는 생각이 들었다.",최근에 내가 관람한 영화에서 주인공은 어떤 경험을 했나요?,잘 모르겠음,우연으로 큰 돈을 벌었다.,실수로 인해 갈등을 겪었다.,여행을 다니며 새로운 친구를 만났다.,3,실수로 인해 갈등을 겪었다.,0,day4block1/mixture/day4block1_stimulus11.wav
12,477,Kelly,Royce,"지난달에 친구와 둘이 강릉 근교에 있는 작은 요가 리트릿에 다녀왔다. 숙소에 도착하자마자 바로 숲속 데크에서 요가 매트를 펼쳤고, 평소와 다르게 바람 소리와 나뭇잎 흔들리는 소리까지 들리니 자세를 더 오래 유지할 수 있었다. 저녁에는 명상 시간도 있었는데, 친구가 잠들 뻔해서 서로 웃음이 터졌다. 도시에서 벗어나 자연에서 온전히 몸과 마음을 쉬게 된 뜻깊은 경험이었다.",요가 리트릿에서 친구와 함께 웃음을 터뜨린 이유는 무엇이었나요?,잘 모르겠음,명상 시간에 친구가 균형을 잃었기 때문,친구가 요가 강사에게 질문을 많이 해서,명상 시간에 친구가 잠들 뻔했기 때문,4,명상 시간에 친구가 잠들 뻔했기 때문,0,day4block1/mixture/day4block1_stimulus12.wav
13,77,Graham,Jimmy,"며칠 전 친구들과 함께 제주도의 작은 마을을 찾았던 경험이 아직도 선명하게 떠오른다. 그곳에서 우리는 바닷가 근처에 있는 게스트하우스에 묵었는데, 저녁 무렵 마당에 모여 바비큐를 해 먹으며 서로의 이야기를 나눴던 시간이 정말 특별했다. 시원한 바람과 함께 먹는 고기 맛이 유난히 좋았고, 평소에는 듣지 못하던 파도 소리와 매미 소리가 어우러져 평화로움을 느꼈다.",발화자가 친구들과 함께 제주도에서 저녁에 무엇을 하며 특별한 시간을 보냈나요?,잘 모르겠음,게스트하우스 마당에서 바비큐를 해 먹으며 이야기를 나눴다.,제주도 카페에서 커피를 마셨다.,오름을 등반하며 경치를 감상했다.,2,게스트하우스 마당에서 바비큐를 해 먹으며 이야기를 나눴다.,0,day4block1/mixture/day4block1_stimulus13.wav
14,271,Echo,Alex,"주말마다 작은 스케치북을 들고 근처 공원에 가서 풍경을 그리는 게 나의 오랜 취미다. 고등학생 때 친구의 권유로 처음 시작한 이후로, 지금까지 열심히 이어오고 있다. 최근에는 연필 대신 수채화 물감도 시도해보면서 다양한 색감을 표현하는 재미에 푹 빠졌다. 공원에서 바람 소리와 새소리를 들으며 그림을 그릴 때면 마음이 한결 가벼워지는 기분이다.",화자가 최근에 시도해본 새로운 그림 재료는 무엇인가요?,잘 모르겠음,파스텔,수채화 물감,연필,3,수채화 물감,0,day4block1/mixture/day4block1_stimulus14.wav
15,478,Bell,Carl,"지난주에 졸업 작품 준비를 위해 팀원들과 밤늦게까지 실험실에서 모여 각자 맡은 파트를 점검했다. 발표 일자가 점점 다가오니 자연스럽게 긴장감이 감돌았고, 중간에 컴퓨터가 갑자기 멈춰서 잠시 당황하기도 했다. 그래도 서로 도우며 문제를 해결해 조금 안심이 됐다. 그날 다 같이 컵라면을 먹으면서 새로운 아이디어도 나왔는데, 생각보다 팀워크가 잘 맞아서 힘들면서도 뿌듯함을 느꼈다.",졸업 작품 준비 도중 팀원들이 먹었던 음식은 무엇이었나요?,잘 모르겠음,피자,컵라면,김밥,3,컵라면,0,day4block1/mixture/day4block1_stimulus15.wav
16,72,Callan,Matthew,"지난 학기에는 전공 수업 때문에 도서관에서 보내는 시간이 많았는데, 시험 기간에는 친구들과 밤새워 공부하면서 서로 문제를 내주기도 했다. 특히 민지랑 경제학 과목 과제를 같이 하다 보니 자연스럽게 친해져서, 과제 끝난 후에는 학교 근처 분식집에서 떡볶이 먹으면서 스트레스를 풀었던 기억이 남는다. 그때 민지가 추천해준 오뎅국물이 정말 맛있었다.",시험 기간에 발화자가 친구들과 함께 했던 활동은 무엇이었나요?,잘 모르겠음,학교 근처 공원 산책,문제 내주며 함께 공부,기출문제 풀기,3,문제 내주며 함께 공부,0,day4block1/mixture/day4block1_stimulus1.wav
17,267,Paige,Sara,"며칠 전 제주도 골목을 걷다가 외관이 파란색으로 칠해진 작은 카페를 우연히 발견했어요. 내부에는 직접 만든 도자기 잔과 나무 테이블이 놓여 있었고, 창문 너머로 한라산이 보였죠. 주인장께서 직접 로스팅한 커피를 내어주셨는데, 커피 향과 더불어 감귤청이 들어간 브라우니도 서비스로 주셨어요. 창가에 앉아 제주만의 여유를 느끼며 책을 읽다 보니, 시간 가는 줄 몰랐답니다.",화자가 제주도의 카페에서 서비스로 받은 디저트는 무엇이었나요?,잘 모르겠음,치즈케이크,녹차 마들렌,감귤청이 들어간 브라우니,4,감귤청이 들어간 브라우니,0,day4block1/mixture/day4block1_stimulus2.wav
18,473,Rita,Liam,"최근에는 일요일마다 새로운 브런치 메뉴를 직접 만들어보는 취미가 생겼다. 이번에는 부드러운 스크램블에그와 아보카도, 그리고 토마토를 곁들인 오픈 샌드위치를 준비했다. 계란을 약불에서 천천히 저으니 평소보다 훨씬 촉촉하고 고소하게 완성되어, 빵 위에 올렸을 때도 흐르지 않고 잘 어울렸다. 가족들도 예전보다 더 맛있다며 칭찬을 아끼지 않아 뿌듯한 주말이 되었다.",이번에 직접 만든 브런치 샌드위치에 곁들인 재료로 언급된 것은 무엇인가요?,잘 모르겠음,베이컨과 시금치,아보카도와 토마토,치즈와 햄,3,아보카도와 토마토,0,day4block1/mixture/day4block1_stimulus3.wav
19,73,Frankenstein,Slushy,"며칠간의 제주도 여행을 마치고 집으로 돌아왔을 때 평소와는 다른 감정이 느껴졌다. 바닷가를 걷던 순간들이 머릿속에 선명하게 남아 있었고, 그곳에서 만난 따뜻한 사람들과의 대화가 자꾸 떠올랐다. 덕분에 이전에는 별로 생각하지 않았던 일상의 소중함을 새삼 느끼게 되었고, 앞으로는 더 감사한 마음으로 하루하루를 보내고 싶다는 다짐도 하게 되었다.",여행을 다녀온 후 내가 새롭게 다짐하게 된 것은 무엇이었나요?,잘 모르겠음,바닷가에서 수영을 배우기,일상의 소중함을 감사하는 마음으로 살기,다음에는 혼자 여행을 가기,3,일상의 소중함을 감사하는 마음으로 살기,0,day4block1/mixture/day4block1_stimulus4.wav
20,268,Zoey,Chloe,"며칠 전 동물원에 갔을 때 코끼리 먹이 주기 체험을 할 기회가 생겼다. 직접 당근을 손에 들고 코끼리에게 내밀었더니, 거대한 코가 조심스럽게 내 손에서 당근을 가져갔다. 그 촉감이 예상보다 부드러워서 신기했고, 옆에서 동생이 놀라며 웃던 모습도 기억에 남는다. 나중엔 사육사분이 코끼리의 이름이 '보람이'라고 알려주셔서, 이름을 부르며 인사까지 해볼 수 있었다.",동물원에서 내가 먹이를 준 코끼리의 이름은 무엇이었나요?,잘 모르겠음,보람이,순이,철수,2,보람이,0,day4block1/mixture/day4block1_stimulus5.wav
21,474,Chase,Chloe,"며칠 전, 팀 프로젝트가 막바지에 이르러 업무 부담이 많아졌을 때 선배인 민지 언니가 저를 따로 불러 커피를 사주며 이런저런 조언을 해줬어요. 실수할까봐 걱정이 많았던 제게 민지 언니는 자신의 첫 프로젝트 경험을 들려주며 실패도 과정의 일부라고 위로해줬죠. 덕분에 마음이 한결 가벼워져서, 그날 이후로 힘든 일이 생길 때마다 언니에게 먼저 연락해 조언을 구하게 되었어요.",화자는 어떤 계기로 민지 언니와 더 자주 연락하게 되었나요?,잘 모르겠음,팀 프로젝트가 완전히 끝나서,민지 언니가 화자에게 사과해서,민지 언니가 조언을 해주고 위로해주어서,4,민지 언니가 조언을 해주고 위로해주어서,0,day4block1/mixture/day4block1_stimulus6.wav
22,74,Vincent,Bruce,"수업 끝나고 급하게 강의실을 나서다가 복도에서 선배님을 우연히 만났는데, 그분이 저에게 갑자기 동아리 회식 이야기를 하시며 참석 여부를 물으셨어요. 너무 당황해서 이름조차 제대로 말하지 못하고 고개만 끄덕였던 기억이 아직도 선명해요. 나중에 친구들이랑 그 선배님을 다시 만났을 때, 저는 그때의 어색한 분위기를 떠올리며 괜히 혼자 얼굴이 빨개졌어요.",발화자가 복도에서 우연히 만난 선배님이 물어본 것은 무엇이었나요?,잘 모르겠음,오늘 점심 메뉴,동아리 회식 참석 여부,과제 제출 기한,3,동아리 회식 참석 여부,0,day4block1/mixture/day4block1_stimulus7.wav
23,269,April,Starling,"며칠 전 퇴근하고 집에 들어섰을 때, 아내가 갑자기 아이가 태동했다고 말해주었다. 처음에는 실감이 나지 않았는데, 아내의 손을 배 위에 올려보니 정말로 미세한 움직임이 느껴졌다. 그 순간부터 부모가 된다는 사실이 현실로 다가왔고, 나도 모르게 두근거렸다. 저녁 내내 아내와 아이 이름을 고민하며, 앞으로 우리 세 식구가 함께할 일상에 대해 이야기 나눴다.","발화자는 아내와 어떤 특별한 경험을 한 후, 무엇을 하며 저녁 시간을 보냈나요?",잘 모르겠음,친구들에게 전화해 소식을 전했다,아내와 아이 이름을 고민하며 이야기를 나눴다,산책을 하며 운동을 했다,3,아내와 아이 이름을 고민하며 이야기를 나눴다,0,day4block1/mixture/day4block1_stimulus8.wav
24,476,Hans,Lucille,"비 오는 날 퇴근길에 우연히 오래된 친구를 만났다. 그녀가 최근 요가를 시작했다며 한결 밝아진 모습을 보여줘서 인상적이었다. 스트레칭으로 몸이 가벼워지고, 집중력이 높아졌다는 말을 듣고 나도 흥미가 생겼다. 그래서 다음 주말, 그녀가 다니는 요가 스튜디오에 함께 가보기로 약속했다. 혼자서는 용기가 부족했지만, 친구 덕분에 한 번 도전해보고 싶다는 생각이 들었다.",발화자가 요가를 시작해보고 싶다고 느낀 주된 이유는 무엇인가요?,잘 모르겠음,친구의 변화된 모습을 보고 흥미가 생겨서,TV 프로그램을 보고 영감을 받아서,건강이 갑자기 나빠져서,2,친구의 변화된 모습을 보고 흥미가 생겨서,0,day4block1/mixture/day4block1_stimulus9.wav
25,75,Jackson,Ron,"몇 년 전 장마철이 유난히 길었던 해가 있었는데, 그때 나는 친구와 약속이 있었음에도 불구하고 폭우 때문에 약속 장소까지 우산을 쓰고도 옷이 다 젖을 정도로 힘들게 갔던 기억이 난다. 그날은 카페에서 창밖으로 쏟아지는 비를 보며 서로의 신발이 다 젖은 것을 보며 웃기도 했고, 결국엔 그날 저녁에 집에 돌아가서 감기에 걸리고 말았다.",발화에서 화자는 장마철에 어떤 일을 한 이후에 감기에 걸렸나요?,잘 모르겠음,친구와 운동,옷이 젖을 정도로 비를 맞으며 약속 장소에 감,강아지와 산책,3,옷이 젖을 정도로 비를 맞으며 약속 장소에 감,0,day4block1/mixture/day4block1_stimulus10.wav
26,270,Paige,Lydia,"햇살이 부드럽게 내리쬐던 그 섬에서 자전거를 빌려 천천히 해안길을 달렸다. 바람 소리와 파도 소리가 섞여 마음이 편안해졌고, 작은 카페에서 직접 만든 귤차를 마시며 창밖을 오래 바라보았다. 시간이 느리게 흘러가 마치 다른 세상에 온 듯한 기분이 들었다. 해가 질 무렵에는 부두에 앉아 노을을 보며 손에 남은 귤향을 맡았다. 조용한 그곳에서의 하루가 아직도 기억에 오래 남는다.",이 발화에서 화자는 섬에서 어떤 음료를 마셨나요?,잘 모르겠음,아이스커피,귤차,딸기주스,3,귤차,0,day4block1/mixture/day4block1_stimulus11.wav
27,477,Royce,Kelly,"며칠 전 친구와 약속 장소를 정할 때 서로 원하는 곳이 달라서 한참을 의견을 주고받았던 기억이 떠오른다. 나는 조용한 카페를 선호했지만, 친구는 활기찬 레스토랑을 원했다. 결국 서로의 이야기를 충분히 들어보고, 각자 양보해서 중간쯤 위치한 분위기 좋은 브런치 카페로 결정했다. 그 과정에서 친구와 더욱 솔직하게 대화할 수 있었고, 서로를 이해하는 계기가 되어 기분이 좋았다.",발화자가 친구와 약속 장소를 정할 때 최종적으로 선택한 곳은 어디였나요?,잘 모르겠음,조용한 카페,활기찬 레스토랑,분위기 좋은 브런치 카페,4,분위기 좋은 브런치 카페,0,day4block1/mixture/day4block1_stimulus12.wav
28,77,Jimmy,Graham,"며칠 전, 친구가 추천해 준 책을 읽으면서 생각이 많이 바뀌었다. 예전에는 어려운 일이 생기면 피하려고만 했는데, 책에서 저자가 겪은 실패와 극복 이야기를 보며 용기를 얻었다. 그 이후로 작은 도전도 두려워하지 않게 되었고, 실패를 성장의 기회로 받아들이게 됐다. 그래서 요즘엔 매일 30분씩 독서 시간을 꼭 지키려고 노력하고 있다.",화자는 책을 읽은 후 어떤 변화를 경험했나요?,잘 모르겠음,핸드폰을 덜 사용하게 되었다.,신문을 빠르게 읽게 되었다.,실패를 성장의 기회로 받아들이게 되었다.,4,실패를 성장의 기회로 받아들이게 되었다.,0,day4block1/mixture/day4block1_stimulus13.wav
29,271,Alex,Echo,"며칠 전 책장 정리를 하다가 예전에 읽었던 한 소설이 눈에 들어왔다. 그 책을 집어 들자마자 불편했던 감정이 떠올랐다. 이야기 전개가 지나치게 우울하고 등장인물 대부분이 서로에게 상처를 주는 내용이어서 읽는 내내 답답함을 느꼈다. 마지막 장을 덮은 후에는 한동안 기분이 가라앉았던 기억이 있어서, 다시는 그 책을 읽고 싶지 않다는 생각이 들었다.",화자가 다시 읽고 싶지 않은 이유는 무엇인가요?,잘 모르겠음,이야기가 너무 짧아서,등장인물들이 서로에게 상처를 주는 내용이어서,책 표지가 마음에 들지 않아서,3,등장인물들이 서로에게 상처를 주는 내용이어서,0,day4block1/mixture/day4block1_stimulus14.wav
30,478,Carl,Bell,"며칠 전, 오래된 필름카메라를 꺼내어 동네 뒷산을 산책하며 사진을 찍었다. 햇살이 나뭇잎 사이로 스며드는 풍경이나 작은 곤충들의 움직임을 포착하는 게 내게는 큰 즐거움이다. 현상소에서 사진을 찾아올 때마다 어떤 장면이 남아 있을지 기대하게 된다. 이 과정이 내 마음을 차분하게 만들어주고, 한 장면에 집중하면서 일상에서 놓치기 쉬운 순간들을 다시 바라볼 수 있게 된다.",화자가 사진을 찍으러 간 장소는 어디였나요?,잘 모르겠음,도시의 번화가,동네 뒷산,해변,3,동네 뒷산,0,day4block1/mixture/day4block1_stimulus15.wav
