stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
13,27,Ron,Joshua,"작년 크리스마스에는 눈이 많이 내려서 가족 모두가 집 근처 공원에 모였어요. 동생과 눈사람을 만들고, 부모님은 따뜻한 코코아를 준비해주셨어요. 다 같이 사진을 찍고, 저녁에는 집에서 직접 만든 쿠키와 함께 보드게임을 하며 시간을 보냈죠. 선물 교환도 했는데, 저는 엄마에게 손수 만든 목도리를 드렸더니 무척 좋아하셨어요. 모두가 웃으며 따뜻한 추억을 쌓은 특별한 하루였답니다.",발화에서 저녁에 가족이 함께 한 활동은 무엇인가요?,잘 모르겠음,청소를 했다,보드게임을 했다,영화를 봤다,3,보드게임을 했다,0,day2block1/mixture/day2block1_stimulus13.wav
14,228,Glenda,Sophia,"며칠 전부터 매일 저녁마다 유튜브 영상을 참고해 손글씨 연습을 해왔다. 처음에는 펜을 쥐는 손에 힘이 너무 들어가 글씨가 삐뚤빼뚤해 만족스럽지 않았다. 그런데 오늘 갑자기 손에 힘을 빼고 천천히 써보니, 내가 원하던 둥글고 깔끔한 글씨체가 자연스럽게 나왔다. 연습장 한 장 가득 썼을 때 스스로도 뿌듯했고, 엄마에게 보여주니 예쁘다고 칭찬도 받았다.",발화자가 손글씨 연습에서 원하는 결과를 얻기 위해 시도한 방법은 무엇이었나요?,잘 모르겠음,손에 힘을 더 주고 썼다,손에 힘을 빼고 천천히 썼다,연습장을 바꿨다,3,손에 힘을 빼고 천천히 썼다,0,day2block1/mixture/day2block1_stimulus14.wav
15,429,Helena,Cole,친구와 우연히 길을 걷다가 골목 안 작은 공방에서 유리 공예 체험을 알게 되었어요. 별다른 계획 없이 들어갔다가 투명한 유리 조각들이 불에 녹아 다양한 형태로 변하는 모습에 완전히 매료되었죠. 처음 만든 유리 팬던트는 삐뚤빼뚤했지만 손끝에 집중하며 작품을 완성하는 경험이 너무 특별했어요. 그날 이후로 주말마다 새로운 디자인을 구상하며 유리 공예에 푹 빠져 있습니다.,유리 공예를 처음 접한 계기는 무엇이었나요?,잘 모르겠음,잡지에서 보고 관심이 생겨서,친구와 산책하다가 우연히 공방을 발견해서,학교 수업 중 체험활동으로 참가해서,3,친구와 산책하다가 우연히 공방을 발견해서,0,day2block1/mixture/day2block1_stimulus15.wav
16,23,Bruce,Ryan,"학교 수업이 끝난 후 미술 동아리에서 친구들과 함께 벽화를 그렸던 기억이 아직도 생생하다. 처음에는 벽면이 너무 넓어서 어떻게 채울지 막막했지만, 각자 맡은 부분을 정하고 서로 아이디어를 모아가며 점점 그림이 완성되어가는 모습을 보니 정말 뿌듯했다. 특히 내가 담당한 해바라기 부분을 칭찬받았을 때 무척 기뻤다.",동아리 활동에서 화자가 담당했던 그림의 주제는 무엇이었나요?,잘 모르겠음,구름,해바라기,나비,3,해바라기,0,day2block1/mixture/day2block1_stimulus1.wav
17,224,Kelsey,Paige,"친구들과 여행 중에 현지 식당에서 처음으로 멕시코 전통 요리인 엔칠라다를 먹게 되었다. 평소 매운 음식을 잘 먹지 못해서 조금 걱정했지만, 매콤하면서도 치즈가 듬뿍 올라가 있어 의외로 맛있게 먹을 수 있었다. 친구 중 한 명은 고수를 싫어해서 고수는 빼달라고 따로 주문했다. 덕분에 서로의 입맛 차이에 대해 이야기하며 음식 경험을 나누는 시간이 되었다.",내가 여행 중 처음으로 먹은 외국 음식은 무엇이었나요?,잘 모르겠음,엔칠라다,파스타,초밥,2,엔칠라다,0,day2block1/mixture/day2block1_stimulus2.wav
18,423,Riley,Edward,"비가 억수같이 쏟아져서 우산을 쓰고 조심스럽게 영화관으로 향했다. 표를 받고 나니 신발이 다 젖어버렸지만, 오랜만에 보는 연인의 얼굴에 기분이 금세 좋아졌다. 영화가 시작되기 전 팝콘을 사서 나눠 먹으며, 서로 어떤 장면이 기대되는지 이야기했다. 영화 내내 빗소리가 극장 밖에서 희미하게 들렸고, 엔딩 크레딧이 올라갈 때쯤엔 비가 조금 잦아들어 다시 우산을 펴고 나왔다.",발화 속 화자는 영화가 시작되기 전에 연인과 무엇을 했나요?,잘 모르겠음,팝콘을 나눠 먹으며 기대되는 장면을 이야기했다,커피를 마시며 창밖을 바라봤다,우산을 빌리기 위해 대기했다,2,팝콘을 나눠 먹으며 기대되는 장면을 이야기했다,0,day2block1/mixture/day2block1_stimulus3.wav
19,24,Dean,Icarus,"수학여행을 갔던 어느 날, 같은 반 친구와 우연히 둘이서 오래 이야기를 나누게 되었어요. 그날 밤 바닷가 산책을 하다가 서로 좋아한다는 마음을 처음으로 고백했죠. 돌아온 뒤로도 손편지를 주고받으며 조심스럽게 만남을 이어갔어요. 친구들과 몰래 약속장소를 정하고, 수줍게 손을 잡았던 그 순간이 아직도 생생하게 기억나요.",수학여행 중에 두 사람이 처음으로 서로의 마음을 고백한 장소는 어디였나요?,잘 모르겠음,학교 운동장,식당,바닷가,4,바닷가,0,day2block1/mixture/day2block1_stimulus4.wav
20,225,Viqqie,Catherine,"비행기 연착 때문에 공항에서 밤을 꼬박 새우게 된 적이 있다. 주변에 카페나 쉴 곳도 거의 없어서 의자에 앉아 계속 졸았다. 그날따라 캐리어 바퀴도 고장 나서 이동할 때마다 소음이 심해 민망했다. 결국 새벽에 겨우 숙소에 도착했는데, 예약했던 방이 준비되지 않아 한참 대기해야 했던 기억이 난다. 힘들었지만 지금은 친구들과 이 이야기를 웃으면서 종종 떠올린다.",여행 중 어떤 문제로 인해 화자가 공항에서 밤을 새우게 되었나요?,잘 모르겠음,비행기 연착,숙소 예약 문제,짐 분실,2,비행기 연착,0,day2block1/mixture/day2block1_stimulus5.wav
21,425,Riley,CaptainBill,"잠수복을 챙겨 입고 배를 타고 바다로 나갔다. 물에 들어가자마자 파란빛이 가득한 세상이 펼쳐졌다. 작은 물고기 떼가 내 옆을 스치고, 산호초 사이로 노란색 해마 한 마리가 느릿하게 움직였다. 수면 위에서는 느낄 수 없는 고요함과 신비로움이 나를 감쌌고, 내가 숨을 쉴 때마다 나오는 기포가 햇빛에 반짝였다. 오랜만에 바다 밑을 바라보며 자연이 주는 평온함에 감사함을 느꼈다.",발화자가 바다에서 본 해양 생물로 언급된 것은 무엇인가요?,잘 모르겠음,노란색 해마,푸른색 돌고래,빨간색 문어,2,노란색 해마,0,day2block1/mixture/day2block1_stimulus6.wav
22,25,Callan,Chase,"며칠 전 부모님과 함께 할머니 댁에 다녀왔다. 할머니는 우리를 위해 직접 키운 옥수수를 삶아주셨는데, 그 고소한 냄새가 집안 가득 퍼졌다. 사촌들과 마당에서 숨바꼭질도 하고, 시원한 우물물에 발을 담그며 더위를 식혔다. 저녁에는 모두 모여서 수박을 먹으며 하루 동안 있었던 재미있는 일들을 나눴다. 할머니의 정겨운 웃음소리가 아직도 귀에 맴돈다.",발화에서 여름 휴가 동안 가족들이 저녁에 모여서 먹은 것은 무엇이었나요?,잘 모르겠음,옥수수,수박,감자,3,수박,0,day2block1/mixture/day2block1_stimulus7.wav
23,226,Hailey,Catherine,"초등학교 6학년 때 미술 동아리에서 친구들과 벽화 그리기를 했던 기억이 아직도 생생하다. 처음엔 벽이 너무 커서 부담스러웠지만, 한 명씩 맡은 부분을 조금씩 채워가다 보니 점점 그림이 완성되어 가는 모습에 모두가 신이 났다. 완성 후 교장 선생님께 칭찬도 받고, 동아리 친구들과 사진도 찍으며 정말 뿌듯했던 하루였다.",미술 동아리에서 친구들과 함께 했던 활동은 무엇이었나요?,잘 모르겠음,벽화 그리기,음악 공연 준비,로봇 만들기,2,벽화 그리기,0,day2block1/mixture/day2block1_stimulus8.wav
24,426,Vivien,Carl,"퇴근 후 집에 들어서면 고양이 미로가 현관 앞에서 조용히 꼬리를 흔들며 기다리고 있다. 오늘은 미로가 유난히 배고픈 듯 주방 쪽으로 성큼성큼 걸어가더니, 내가 사온 신선한 닭고기 간식을 향해 자꾸 앞발로 내 손을 톡톡 쳤다. 저녁을 준비하는 동안에도 식탁 위로 슬며시 올라와 내 주변을 맴돌다가, 결국 내가 조그맣게 잘라 준 닭고기 조각을 얻어먹고서야 만족스럽게 그릉그릉 소리를 냈다. 그 모습을 보니 피곤함이 싹 풀리는 기분이었다.",오늘 저녁에 고양이 미로가 보인 행동으로 올바른 것은 무엇인가요?,잘 모르겠음,현관 앞에서 나를 무시했다,주방 쪽으로 걸어가며 간식을 원했다,식탁 아래에서 조용히 잠들었다,3,주방 쪽으로 걸어가며 간식을 원했다,0,day2block1/mixture/day2block1_stimulus9.wav
25,26,DollarJr,SantaClaus,"며칠 전 운동회 때 일이 아직도 생생하다. 줄다리기 결승에서 우리 반이 졌다가 갑자기 상대 팀 한 명의 신발이 벗겨지는 바람에 심판이 경기를 중단했다. 모두 웃으며 잠시 기다렸고, 그 친구가 신발을 신고 다시 시작했더니 분위기가 훨씬 화기애애해졌다. 결국 우리가 아쉽게 졌지만, 신발 사건 덕분에 서로 응원하며 더 가까워진 느낌이었다.",운동회 줄다리기 결승에서 경기가 잠시 중단된 이유는 무엇이었나요?,잘 모르겠음,심판이 줄을 놓쳤기 때문,우리 반이 먼저 줄을 놓았기 때문,상대 팀 한 명의 신발이 벗겨졌기 때문,4,상대 팀 한 명의 신발이 벗겨졌기 때문,0,day2block1/mixture/day2block1_stimulus10.wav
26,227,Paige,Jodie,"며칠 전, 친구가 갑자기 고양이 한 마리를 맡아달라고 부탁해서 처음으로 반려동물을 집에 들이게 됐다. 고양이는 낯선 환경에 잔뜩 긴장한 모습이었고, 처음엔 침대 밑에서만 숨었다. 조용히 기다려주며 간식도 살짝 가까이에 놔줬더니, 반나절쯤 지나서야 조심스럽게 다가와 내 손을 킁킁거렸다. 그때 손끝에 닿는 부드러운 감촉과 고양이의 신중한 눈빛이 아직도 잊히지 않는다.",고양이가 처음 집에 왔을 때 주로 어디에 숨었나요?,잘 모르겠음,소파 뒤,침대 밑,옷장 안,3,침대 밑,0,day2block1/mixture/day2block1_stimulus11.wav
27,427,Alex,Henry,"지하철에서 매일 마주치는 사람이 있었는데, 어느 날 우연히 비가 많이 와서 둘 다 우산이 없다는 사실을 알게 됐다. 서로 어색하게 웃으며 비를 피하다가, 자연스럽게 대화를 시작했다. 좋아하는 음악 이야기를 하면서 금방 친해질 수 있었고, 다음에는 각자 좋아하는 노래를 공유하자고 약속했다. 평소 같으면 그냥 지나쳤을 텐데, 작은 우연이 새로운 인연으로 이어진 셈이다.",지하철에서 우연히 대화를 시작하게 된 계기는 무엇이었나요?,잘 모르겠음,서로 좋아하는 영화 이야기를 하다가,둘 다 우산이 없어서 비를 피하며,지하철에서 자리 양보를 하다가,3,둘 다 우산이 없어서 비를 피하며,0,day2block1/mixture/day2block1_stimulus12.wav
28,27,Joshua,Ron,"지난달 친구들과 함께 경주에 다녀왔다. 첨성대 근처의 유채꽃밭에서 노란 꽃들이 만개한 풍경을 배경으로 사진을 찍고 싶어 일부러 새벽에 도착했다. 해가 막 떠오르기 시작할 무렵, 이슬에 젖은 꽃들이 햇살에 반짝여 정말 아름다웠다. 삼각대를 세우고 여러 각도에서 사진을 찍었는데, 그중 한 장은 친구 모두가 환하게 웃으며 포즈를 잡은 모습이 담겨 인생 사진이라 부를 만했다. 사진을 찍고 난 뒤에는 근처 카페에서 따뜻한 커피를 마시며 추억을 이야기했다.",인생 사진을 찍은 장소에서 주인공과 친구들은 어떤 시간대에 도착했나요?,잘 모르겠음,한낮,해가 지고 난 후,새벽,4,새벽,0,day2block1/mixture/day2block1_stimulus13.wav
29,228,Sophia,Glenda,"며칠 전 친구들이 집에 놀러 온다고 해서 특별히 크림파스타를 직접 만들어보려고 했어요. 레시피를 꼼꼼히 보고 재료도 다 준비했는데, 우유 대신 실수로 바닐라향이 나는 우유를 넣어버렸어요. 익숙하지 않은 향이 퍼져서 다들 한 입 먹고는 웃음을 터뜨렸죠. 결국 피자를 시켜서 먹으며 실패담을 다 함께 즐겁게 이야기했어요.",발화자가 요리할 때 실수로 넣은 재료는 무엇이었나요?,잘 모르겠음,소금이 많이 든 소금물,바닐라향이 나는 우유,매운 고추,3,바닐라향이 나는 우유,0,day2block1/mixture/day2block1_stimulus14.wav
30,429,Cole,Helena,"새 학기가 시작된 지 얼마 안 됐을 때, 반에서 유난히 조용했던 민수가 어느 날 우연히 내 연필을 주워주면서 처음 말을 걸어줬다. 그날 이후 우리는 점심시간마다 학교 뒤뜰에서 서로 좋아하는 만화 이야기나 가족 이야기를 나누곤 했다. 비 오는 날에는 창가에 나란히 앉아 창밖을 바라보며 소곤소곤 비밀 얘기를 하기도 했고, 서로의 생일에는 직접 만든 카드와 조그만 선물을 주고받으며 우정을 쌓아갔다. 민수 덕분에 초등학교 시절이 한층 더 따뜻하게 기억에 남는다.",내가 민수와 함께 점심시간에 주로 했던 일은 무엇인가요?,잘 모르겠음,학교 뒤뜰에서 좋아하는 만화와 가족 이야기를 나누었다.,운동장에서 축구를 했다.,도서관에서 책을 읽었다.,2,학교 뒤뜰에서 좋아하는 만화와 가족 이야기를 나누었다.,0,day2block1/mixture/day2block1_stimulus15.wav
